id,code,name,level,longitude,latitude
CAAuzbg7IFd,WAU-WE3-AHFL,AIDS Health Foundation (AHF) Clinic,5,-13.264702999999999,8.485115
zM81ZXCn4Ml,WAU-WE2-AMEL,AMI Expeditionary Healthcare Clinic,5,-13.246324,8.472140999999999
phtyLB0ZfIz,WAU-EA3-AWAP,AWAKE CHP,5,-13.153580000000002,8.420162999999999
dar4XkzRmN0,WAU-WE3-ABEH,Aberdeen Women Centre Hospital,5,-13.287780000000001,8.49314
GvZ4yXIjxsY,WAU-CE1-ABEH,Abernita Hospital,5,-13.2316,8.4902
Dq86w8tvw1h,WAU-EA3-ADBM,Ad-Bangs Quarry MCHP,5,-13.18031,8.439451
waE3sdkY7ha,KON-KOC-ADAC,Adama Martha Memorial CHC,5,-10.98625,8.64858
OWlc4mW2hSs,WAR-YOR-ADOP,Adonkia CHP,5,-13.267310000000002,8.415735
jRubpdIY41X,WAR-WAT-ADRH,Adra Hospital,5,-13.073018,8.335811999999999
dsmi7uEIEEn,WAU-WE1-AHEL,Affordable Health Clinic,5,-13.247976,8.472608
dvZ1imj28ID,WAR-WAT-ACFL,African Christian Fellowship (ACF) Clinic,5,-13.073340000000002,8.315382999999999
QufUhEroWkb,KEN-KEC-AFRL,African Muslim Agency Clinic,5,-11.201927,7.861533
r7HlpPKHfWW,BOO-BOC-AGAP,Agape Way CHC,5,-11.735990000000001,7.946332999999999
NXPBaEbfw1g,KAM-MAG-AHML,Ahmadiyya Mission Clinic,5,-12.9487,9.0131
PYbt1FIe0Sp,KEN-KEC-AHMH,Ahmadiyya Muslim (Nongowa) Hospital,5,-11.188,7.8881000000000006
rfK14JAVwtU,TON-YMM-AHMH,Ahmadiyya Muslim (Yoni Mamala) Hospital,5,-12.2231,8.466
jgKElj4o4a6,WAU-EA3-ALKP,Al-Khatab CHC,5,-13.159,8.429400000000001
NfNrXmkJa9D,WAU-WE3-ALSL,Al-Sheefa Arab Clinic,5,-13.280992999999999,8.492080000000001
BjS2nFPpFlX,PLT-KAF-ALML,Alimamy Amara Clinic,5,-13.223491,8.641028
gZpSPgbuBVd,KOI-KAL-ALKC,Alkalia CHC,5,-11.388237,9.147955
FFDoJvNboOc,WAU-EA3-ALLC,Allen Town CHC,5,-13.15497,8.417641
GfkWK0go9uI,WAU-EA3-APPP,Approved School CHC,5,-13.176223,8.459138
B2Y54XPyuNi,WAU-EA3-ACTL,Arab (Calaba Town) Clinic,5,-13.159322999999999,8.437413
qQ5roexARjf,WAU-WE2-ARDL,Arab (Dwarzak) Clinic,5,-13.230822,8.465105
INoXk23GwzC,PLT-KAF-ARAL,Arab (Lungi) Clinic,5,-13.175666999999999,8.599548
kvu9bmdsP4k,PLT-MAR-ARAL,Arab (Lunsar) Clinic,5,-12.532116,8.683050999999999
VXPm9R7GRLq,BOM-BOM-ARAL,Arab (Makeni) Clinic,5,-12.0512,8.861167
iUPBRkXmT8b,PLT-PLC-ARAL,Arab (Port Loko) Clinic,5,-12.790897,8.77011
ereG8e7Qx09,KOI-SEN-ARSL,Arab (Sengbeh) Clinic,5,-11.550804999999999,9.594517
mUmwxxBKx3I,WAU-EA2-ARSL,Arab (Shad) Clinic,5,-13.222031999999999,8.489827
wDChzCfqaXt,WAU-EA3-ARSL,Arab (Shell) Clinic,5,-13.189152,8.475562
khdrSKbQVEe,PLT-TAI-ASHM,Asheea MCHP,5,-12.592964,8.880528
TYTDJOikSBa,BOO-BOC-ETHC,Athel CHP,5,-11.723730999999999,7.932595999999999
k5qLtwbMxwV,KEN-WAN-BAAC,Baama CHC,5,-11.332740000000001,8.358403
DDEZcdYY7Zv,PLT-LOK-BABC,Babara CHC,5,-13.131760000000002,8.829391
OYB4r8Ess1c,KOI-DIA-BADM,Badala MCHP,5,-11.54044,9.318617999999999
V5pqLY1TQC3,KOI-WWB-BAFC,Bafodia CHC,5,-11.73178,9.684049
mjr7fbUFP93,PLT-KAF-BAIH,Bai Bureh Memorial Hospital,5,-13.19955,8.60083
v7grvTXSGvs,MOY-KOR-BAIM,Bai-Largo CHP,5,-12.156600000000001,8.280774
F7rKI2wvyCE,KON-TAN-BAIC,Baiama CHC,5,-10.967720000000002,8.516670000000001
q8y4sU9Mia6,KAI-MAN-BAIP,Baiima CHP,5,-10.7692,8.034
NQpLWIjmmWY,PLT-LOK-BAIP,Bailor CHP,5,-13.237449,8.829709
Okm183b1WrM,KAI-DEA-BAIP,Baiwala CHP,5,-10.6477,7.9957
qvWcLr7TJxy,TON-YMB-BAKP,Bakeloko CHP,5,-12.29334,8.395662999999999
gXJVdraaupo,KEN-GOR-BAMP,Bambara Kaima CHP,5,-11.323310000000001,8.470632
nXK6UiYfDl9,KEN-WAN-BAMM,Bambara MCHP,5,-11.34445,8.316353
Om2HQroIXyd,KEN-NON-BAMM,Bambawo MCHP,5,-11.131587999999999,8.008631
ygC3jdYzXsO,MOY-DAS-BAMM,Bambuibu Tommy MCHP,5,-12.162500000000001,7.9794
PvIy5sU4mKs,KOI-SEN-BAMP,Bambukoro CHP,5,-11.4031,9.546230999999999
UiJEdctL1Dq,FAL-BAR-BANP,Banadakafaia CHP,5,-11.299404,9.359403
lMpYKdKXLWs,WAR-YOR-BANM,Banana Island MCHP,5,-13.164302999999999,8.17566
wbiygLu9tid,KAI-YAW-BANC,Bandajuma CHC,5,-10.848545,8.310158999999999
fqHRggbef8m,KAI-NJA-BANP,Bandajuma Kpolihun CHP,5,-10.89816,8.0229
tvBrm8tNhGy,BOO-KAK-BANM,Bandajuma MCHP,5,-11.666293,7.942877999999999
VuVUKHESDPN,KAI-LUA-BANM,Bandajuma Sinneh MCHP,5,-10.5854,8.2211
TZDwEx3o04g,PUJ-SOW-BANC,Bandajuma Sowa CHC,5,-11.6522,7.5724
DdGDA4FmRqQ,KON-GBA-BANM,Bandama (Gbane) MCHP,5,-10.875924999999999,8.393265
ZOHjY5n9eTT,FAL-KUL-BAEP,Bandapirie CHP,5,-10.737582999999999,8.940211
BCnDvAuxUou,PUJ-BAR-BANC,Bandasuma (Barri) CHC,5,-11.408800000000001,7.36922
uGjmcf7MpD0,KON-FIA-BANP,Bandasuma (Fiama) CHP,5,-10.798300000000001,8.6966
g9msJuVUHCx,KON-SOA-BANM,Bandasuma (Soa) MCHP,5,-10.709650000000002,8.52682
u3sDP2OpeHG,KEN-NIA-BARM,Bandawor MCHP,5,-11.366610000000001,7.761496999999999
S6R0Syx3h7u,KON-SAN-BANP,Bangambaya CHP,5,-11.17134,8.81742
aggov6JF3hT,PUJ-YKK-BANM,Bangorma MCHP,5,-11.84243,7.22383
nMd5fXEbAxX,KAM-MUN-BANM,Banka Makuloh MCHP,5,-12.723664,9.151712999999999
IDgJfIKSZs3,KEN-KOY-BAOC,Baoma (Koya) CHC,5,-11.30362,7.5520629999999995
