event_id,event_date,event_start_date,event_end_date,location_name,event_location_name,event_location_type,district,latitude,longitude,source,event_source,source_type,source_url,source_document,source_record_id,evidence_text,confidence,catalog_zone_match,temporal_grain,location_match_status,matched_flood_zone_id,matched_flood_zone_name,location_match_method,centroid_assigned_silently,observation_status,description,corroborating_sources,corroboration_count,weather_join_status,rainfall_prev_24h,rainfall_prev_72h,rainfall_prev_7d,rainfall_prev_14d,event_day_precipitation_mm,event_day_rainfall_24h,lead_time_eligible,in_daily_target
copernicus-emsr222-regent,2017-08-14,2017-08-14,2017-08-15,Regent,Regent,community,western_area_urban,,,copernicus_ems,copernicus_ems,remote_sensing_copernicus,https://emergency.copernicus.eu/EMSR222,"Copernicus EMS Rapid Mapping EMSR222; JRC dataset Mudflow in Freetown, Sierra Leone (2017-08-15), event time 2017-08-14 23:55 UTC",copernicus-emsr222-regent,Mudslide and flooding in the Regent / Sugar Loaf area. Copernicus event time 2017-08-14 23:55 UTC; activation 2017-08-15. Flash floods also reported in other capital-area communities without named day-level lists in this source.,high,zone:regent,day,matched,zone:regent,Regent / Sugar Loaf,exact_community_name,False,observed,Mudslide and flooding in the Regent / Sugar Loaf area. Copernicus event time 2017-08-14 23:55 UTC; activation 2017-08-15. Flash floods also reported in other capital-area communities without named day-level lists in this source.,"[{""event_source"": ""flood_zones_catalog_narrative"", ""source_document"": ""flood_zones.json regent flood_history year 2017"", ""note"": ""Catalog prose also says Aug 14. Year-grain compiled narrative; not an independent NDMA extract.""}]",2,complete,10.3,17.6,93.3,301.3,24.8,24.8,True,True
ifrc-mdrsl013-ons-2022-08-28-kanikay,2022-08-28,2022-08-28,2022-08-28,Kanikay,Kanikay,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-kanikay,ONS reported flash floods and landslides affecting Kanikay among seven named Freetown communities on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Kanikay among seven named Freetown communities on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-culvert,2022-08-28,2022-08-28,2022-08-28,Culvert,Culvert,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-culvert,ONS reported flash floods and landslides affecting Culvert on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Culvert on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-kaningo,2022-08-28,2022-08-28,2022-08-28,Kaningo,Kaningo,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-kaningo,ONS reported flash floods and landslides affecting Kaningo on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Kaningo on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-tengbeh-town,2022-08-28,2022-08-28,2022-08-28,Tengbeh Town,Tengbeh Town,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-tengbeh-town,ONS reported flash floods and landslides affecting Tengbeh Town on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Tengbeh Town on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-looking-town,2022-08-28,2022-08-28,2022-08-28,Looking Town,Looking Town,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-looking-town,ONS reported flash floods and landslides affecting Looking Town on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Looking Town on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-cassava-town,2022-08-28,2022-08-28,2022-08-28,Cassava Town,Cassava Town,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-cassava-town,ONS reported flash floods and landslides affecting Cassava Town on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Cassava Town on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl013-ons-2022-08-28-brooks-field,2022-08-28,2022-08-28,2022-08-28,Brooks Field,Brooks Field,community,western_area_urban,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-flash-floods-and-landslides-operation-update-report-1-dref-ndeg-mdrsl013,IFRC DREF MDRSL013 operation update citing ONS 28 August 2022 update,ifrc-mdrsl013-ons-2022-08-28-brooks-field,ONS reported flash floods and landslides affecting Brooks Field on 28 August 2022.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,ONS reported flash floods and landslides affecting Brooks Field on 28 August 2022.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ndma-bonthe-2022-09-03,2022-09-03,2022-09-03,2022-09-05,"Bonthe District (Kwamebai Krim, Nongoba Bullom, Gbap, Yawbeko, Sogbini chiefdoms)","Bonthe District (Kwamebai Krim, Nongoba Bullom, Gbap, Yawbeko, Sogbini chiefdoms)",district,bonthe,,,ndma_assessment,ndma_assessment,government_ndma,https://ndma.gov.sl/2022/09/20/ndma-responds-to-bonthe-district-flood-victims-assesses-impact-on-livelihoods-and-infrastructure/,NDMA public assessment: Bonthe District floods 3–5 September 2022,ndma-bonthe-2022-09-03,"NDMA: 3–5 September 2022 torrential rain flooded many villages in five named chiefdoms. Relief cited 3,984 people. Named villages were not listed. Not exploded into invented community-day rows.",high,,day,unmatched,,,unmatched_no_centroid,False,observed,"NDMA: 3–5 September 2022 torrential rain flooded many villages in five named chiefdoms. Relief cited 3,984 people. Named villages were not listed. Not exploded into invented community-day rows.",[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ndma-delken-2023-09-01,2023-09-01,2023-09-01,2023-09-01,Delken Village,Delken Village,community,bonthe,,,ndma_assessment,ndma_assessment,government_ndma,https://ndma.gov.sl/2023/09/15/3818-draunc/,NDMA: Delken Village Floods assessment (published 15 Sep 2023),ndma-delken-2023-09-01,"NDMA: floods destroyed houses and livelihoods at Delken Village, Sittia Chiefdom, Bonthe District on 1 September 2023. 96 households / 724 people affected; 16 houses destroyed, 34 partially damaged. No death reported. Coordinates not published.",high,,day,unmatched,,,unmatched_no_centroid,False,observed,"NDMA: floods destroyed houses and livelihoods at Delken Village, Sittia Chiefdom, Bonthe District on 1 September 2023. 96 households / 724 people affected; 16 houses destroyed, 34 partially damaged. No death reported. Coordinates not published.",[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl016-bumbuna-2024-09-23,2024-09-23,2024-09-23,2024-09-23,Bumbuna,Bumbuna,community,tonkolili,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/report/sierra-leone/sierra-leone-floods-2024-dref-final-report-mdrsl016,IFRC DREF Final Report MDRSL016 (date of event 23 Sep 2024),ifrc-mdrsl016-bumbuna-2024-09-23,"IFRC: on 23 September 2024 overflow of the Bumbuna Dam caused severe flooding in downstream communities; 716 people displaced. NDMA nationwide note the same day lists Tonkolili chiefdoms Dansogoia and Kalantuba, not Bumbuna by name — discrepancy flagged, original IFRC wording preserved.",medium,zone:bumbuna,day,matched,zone:bumbuna,Bumbuna (dam buffer),verified_alternative_name,False,observed,"IFRC: on 23 September 2024 overflow of the Bumbuna Dam caused severe flooding in downstream communities; 716 people displaced. NDMA nationwide note the same day lists Tonkolili chiefdoms Dansogoia and Kalantuba, not Bumbuna by name — discrepancy flagged, original IFRC wording preserved.","[{""event_source"": ""ndma_assessment"", ""source_url"": ""https://ndma.gov.sl/2024/09/24/4259-zsqong/"", ""source_document"": ""NDMA nationwide flood assessment 23 Sep 2024"", ""note"": ""Confirms Tonkolili flooding in the same period. Does not name Bumbuna Dam overflow. Date/place discrepancy flagged, not overwritten.""}]",2,complete,8.4,40.9,82.4,308.5,24.7,24.7,True,True
ifrc-mdrsl006-kpahn-2015-09-05,2015-09-05,2015-09-05,2015-09-06,Kpahn,Kpahn,community,bo,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/attachments/f92aae2b-7fa9-355e-abbe-3a6a22144b4f/MDRSL006.pdf,IFRC DREF MDRSL006 EPoA; date of disaster 5-6 September 2015,ifrc-mdrsl006-kpahn-2015-09-05,Sustained heavy downpour of rain from the 5 to the 6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo. SLRCS staff and volunteers based in Bo District have already started evacuating families affected by the floods from Kpahn community to Falah community.,high,,day,unmatched,,,unmatched_no_centroid,False,observed,IFRC MDRSL006: sustained rain from 5-6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo District. SLRCS evacuated families from Kpahn community to Falah community. Other seven Bo communities were not named. Coordinates not published.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
ifrc-mdrsl006-pujehun-2015-09-05,2015-09-05,2015-09-05,2015-09-06,Pujehun District (two unnamed communities in one chiefdom),Pujehun District (two unnamed communities in one chiefdom),district,pujehun,,,ifrc_dref,ifrc_dref,humanitarian_ifrc,https://reliefweb.int/attachments/f92aae2b-7fa9-355e-abbe-3a6a22144b4f/MDRSL006.pdf,IFRC DREF MDRSL006 EPoA; date of disaster 5-6 September 2015,ifrc-mdrsl006-pujehun-2015-09-05,Sustained heavy downpour of rain from the 5 to the 6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo and two in one Chiefdom in Pujehun District. Pujehun District has 272 persons affected by floods with 41 household heads affected losing 16 houses.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,IFRC MDRSL006: the 5-6 September 2015 rains caused destruction in two communities in one chiefdom in Pujehun District (272 people / 41 households / 16 houses). Community names were not published. Not exploded into invented settlement rows. Not matched to Pujehun Town.,[],1,unmatched_location_no_centroid_weather,,,,,,,False,True
copernicus-emsr222-lumley,2017-08-14,2017-08-14,2017-08-15,Lumley,Lumley,community,western_area_urban,,,copernicus_ems,copernicus_ems,remote_sensing_copernicus,https://emergency.copernicus.eu/EMSR222,"Copernicus EMSR222 / UN-SPIDER: Freetown mudflow and floods, event time 2017-08-14",copernicus-emsr222-lumley,"Heavy rainfall caused deadly flooding and mudslides in and around Freetown. The worst hit areas reportedly are the coastal suburb of Racecourse as well as Lumley and Regent on the outskirts of Freetown, where a hillside collapsed on Monday morning (14 August 2017).",high,zone:lumley,day,matched,zone:lumley,Lumley Beach front,verified_alternative_name,False,observed,UN-SPIDER and Copernicus EMSR222 identify Lumley among the worst-hit Freetown areas on 14 August 2017 alongside Regent. Flash floods also reported in other unnamed capital-area communities; those unnamed places are not invented as extra events.,"[{""event_source"": ""un_spider"", ""source_type"": ""humanitarian_un"", ""source_url"": ""https://www.un-spider.org/advisory-support/emergency-support/11065/sierra-leone-floods-and-landslides"", ""source_document"": ""UN-SPIDER: Sierra Leone floods and landslides, 15 Aug 2017""}]",2,complete,15.3,20.8,60.7,271.4,16.8,16.8,True,True
unspider-2017-08-14-racecourse,2017-08-14,2017-08-14,2017-08-15,Racecourse,Racecourse,community,western_area_urban,,,un_spider,un_spider,humanitarian_un,https://www.un-spider.org/advisory-support/emergency-support/11065/sierra-leone-floods-and-landslides,"UN-SPIDER: Sierra Leone floods and landslides, 15 Aug 2017",unspider-2017-08-14-racecourse,The worst hit areas reportedly are the coastal suburb of Racecourse as well as in Lumley and Regent on the outskirts of Freetown.,medium,,day,unmatched,,,unmatched_no_centroid,False,observed,UN-SPIDER names Racecourse as a worst-hit coastal suburb during the 14 August 2017 Freetown floods and mudslides. Coordinates not published. Not matched to a catalog flood zone.,"[{""event_source"": ""copernicus_ems"", ""source_type"": ""remote_sensing_copernicus"", ""source_url"": ""https://emergency.copernicus.eu/EMSR222"", ""source_document"": ""Copernicus EMSR222 event time 2017-08-14 23:55 UTC"", ""note"": ""Confirms the dated Freetown activation; does not itself name Racecourse.""}]",2,unmatched_location_no_centroid_weather,,,,,,,False,True
